Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,sample,female,w,lnw
136392,712071804188460,June,DC,317.6184,1750.0,40,44,1,,27,1,7,0,0,"Native, Born In US",5,"Banking and related activities (521, 52211,52219)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,43.75,3.7784916128036232
137736,72551430011003,June,GA,3044.386,961.53,40,44,1,,62,1,1,0,0,"Native, Born In US",5,"Banking and related activities (521, 52211,52219)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,24.038249999999998,3.179646311676199
138675,542197249600955,June,ID,1136.5668,1057.69,50,44,1,,24,1,7,0,0,"Native, Born In US",8,"Non-depository credit and related activities (5222, 5223)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,21.1538,3.0518195583844725
138676,542197249600955,June,ID,952.8617,769.23,42,43,6,,25,1,7,0,0,"Native, Born In US",8,Hospitals (622),840,"Private, For Profit",No,No,Employed-At Work,1.0,False,18.315,2.907720396230778
140042,42089172140210,June,IA,1209.1665,1480.76,45,43,1,,30,1,7,0,0,"Native, Born In US",4,"Other health care services (6215, 6219)",840,"Private, Nonprofit",No,No,Employed-At Work,1.0,False,32.90577777777778,3.49364825869841
141019,570916069728719,June,KY,2980.6596,730.0,40,44,7,,44,1,1,1,4,"Native, Born In US",6,Insurance carriers and related activities (524),840,"Private, For Profit",No,No,Employed-At Work,1.0,False,18.25,2.9041650800285006
143705,125057199240250,June,MN,1610.8536,1346.15,45,43,1,,32,1,1,0,0,"Native, Born In US",4,"Securities, commodities, funds, trusts, and other financial investments (523, 525)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,29.914444444444445,3.39834145553281
145777,64943820010601,June,NV,989.5178,680.0,40,42,1,,57,2,5,0,0,"Native, Born In US",8,"Executive offices and legislative bodies (92111, 92112, 92114, pt. 92115)",840,Government - State,No,No,Employed-At Work,1.0,True,17.0,2.833213344056216
145973,370988601049389,June,NH,683.8441,1153.84,40,39,1,,44,2,1,0,0,"Native, Born In US",1,"Navigational, measuring, electromedical, and control instruments manufacturing (3345)",840,"Private, For Profit",No,No,Employed-At Work,1.0,True,28.845999999999997,3.3619713351613183
146619,408901643793404,June,NJ,3060.8717,2692.3,40,44,1,,54,1,1,1,4,"Native, Born In US",2,"Management, scientific, and technical consulting services (5416)",840,"Private, For Profit",No,No,Employed-At Work,1.0,False,67.3075,4.209271671749139
